DUMPYARD,VEHICLE,LOCATION,DAILY,MONTHLY,TYPE 1,TYPE 2,TYPE 3
Patrapada,OR02Z2298,Gothapatna,400,10000,100,250,50
Patrapada,OR02Z2299,Chandaka,340,9000,200,100,40
Patrapada,OR02Z2300,Sum Hospital,500,12000,80,120,300
Patrapada,OR02Z2301,Khandagiri,100,6000,50,40,10
Patrapada,OR02N4510,Firestation,250,14000,120,80,50
crpf square,OR03B4453,CRPF,125,7000,50,60,15
crpf square,OR02N5489,JaydevVihar,300,8000,150,50,100
crpf square,OR07V6109,AcharyaVihar,80,5000,40,20,20
crpf square,OR07N3700,Rasulgarh,200,11000,100,50,50
crpf square,OR09B2219,Vani Bihar,400,15000,100,100,200
ram mandir,OR06X1209,master canteen,90,6000,40,45,5
ram mandir,OR093V2199,shaheed nagar,70,7000,40,20,10
ram mandir,OR05A3209,satya nagar,280,13500,100,100,80
ram mandir,OR22R7879,patia,410,16000,200,150,60
ram mandir,OR54Z9898,damana chaka,450,13000,100,100,250
kalpana,OR11F4545,irc village,500,8000,250,100,150
kalpana,OR21V5455,delta square,70,6000,40,20,10
kalpana,OR11Z5633,laxmi sagar,90,9000,10,20,60
kalpana,OR09X1298,bapuji nagar,150,11000,50,50,50
